Stream,Depth
Metadata Attribute,Value
Frame Counter,29
Frame Timestamp,316745454
Sensor Timestamp,316742611
Actual Exposure,5687
Gain Level,16
Auto Exposure,1
Time Of Arrival,1777979441549
Backend Timestamp,1777979441541
Actual Fps,30121
Frame Laser Power,150
Frame Laser Power Mode,1
Exposure Priority,1
Exposure Roi Left,106
Exposure Roi Right,742
Exposure Roi Top,60
Exposure Roi Bottom,420
Frame Emitter Mode,1
Raw Frame Size,814080
Gpio Input Data,0
Sequence Name,0
Sequence Id,0
Sequence Size,0
