epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.65487,1.24361,2.33656,1.54157,0.00333,1,0.88616,0.57581,0.87632,2.76582,1.29283,0.00038,0.00038,0.00038
2,3.73284,1.12779,1.61001,1.43097,1,0.33426,0.86841,0.55072,1.05922,2.66482,1.58455,0.000764556,0.000764556,0.000764556
3,4.78796,1.20148,1.60338,1.50462,0.73653,0.72727,0.79435,0.43645,1.33724,2.43795,1.9472,0.00113327,0.00113327,0.00113327
4,5.81462,1.22906,1.51949,1.53019,0.85183,0.625,0.79267,0.45573,1.32203,2.00931,1.90263,0.00148615,0.00148615,0.00148615
5,6.84872,1.30166,1.61152,1.59078,0.57528,0.72346,0.65944,0.27078,1.80334,2.6093,2.48348,0.00182318,0.00182318,0.00182318
6,7.8598,1.19407,1.36648,1.48211,0.49645,0.69318,0.52932,0.20733,1.88309,2.38857,2.41864,0.001802,0.001802,0.001802
7,8.86897,1.24154,1.29457,1.48125,0.58447,0.5914,0.62056,0.26698,1.89967,2.65637,2.20899,0.0017624,0.0017624,0.0017624
8,9.87888,1.21942,1.30407,1.52087,0.70909,0.75,0.80458,0.39867,1.50012,3.25493,2.15757,0.0017228,0.0017228,0.0017228
9,10.8966,1.18501,1.19123,1.45869,0.71086,0.78228,0.79428,0.43349,1.47506,1.64939,1.97987,0.0016832,0.0016832,0.0016832
10,11.9145,1.29459,1.22753,1.51446,0.77848,0.79872,0.84923,0.52437,1.26388,1.51056,1.64548,0.0016436,0.0016436,0.0016436
11,12.91,1.17066,1.16663,1.45058,0.76868,0.75527,0.8461,0.5572,1.26319,1.27315,1.70395,0.001604,0.001604,0.001604
12,13.9035,1.20203,1.1553,1.51387,0.46606,0.36364,0.39277,0.17524,2.00932,2.51258,2.81787,0.0015644,0.0015644,0.0015644
13,14.9083,1.22163,1.14506,1.4897,0.75242,0.65621,0.78459,0.49462,1.28329,1.43024,1.74797,0.0015248,0.0015248,0.0015248
14,15.9059,1.14289,1.02365,1.40008,0.89093,0.90909,0.94819,0.62432,1.18372,0.90445,1.62621,0.0014852,0.0014852,0.0014852
15,16.916,1.19452,0.98585,1.43691,0.88348,0.90909,0.95444,0.6302,1.11777,0.83337,1.50652,0.0014456,0.0014456,0.0014456
16,17.9131,1.09726,0.94052,1.38909,0.91849,0.89639,0.93214,0.63181,1.18797,0.85741,1.68759,0.001406,0.001406,0.001406
17,18.9083,1.07386,0.91429,1.37879,0.89272,0.94566,0.97263,0.69094,0.99121,0.69501,1.37089,0.0013664,0.0013664,0.0013664
18,19.9005,1.06743,0.91623,1.36161,0.95324,0.97727,0.98814,0.71757,1.0316,0.63216,1.44254,0.0013268,0.0013268,0.0013268
19,20.898,1.08214,0.87397,1.35112,0.9734,0.94318,0.97441,0.7305,0.91449,0.6016,1.32567,0.0012872,0.0012872,0.0012872
20,21.8954,1.02319,0.82956,1.32985,0.96513,0.98864,0.98843,0.74351,0.9243,0.61247,1.35879,0.0012476,0.0012476,0.0012476
21,22.9121,1.03638,0.8074,1.33599,0.87099,0.875,0.90393,0.62532,1.10966,0.80994,1.56236,0.001208,0.001208,0.001208
22,23.9261,1.02513,0.81345,1.33812,0.98623,0.93182,0.99015,0.7343,0.97024,0.62717,1.38724,0.0011684,0.0011684,0.0011684
23,24.9315,1.02787,1.52966,1.3172,0.81315,0.68182,0.80139,0.46008,1.46888,1.30694,1.94036,0.0011288,0.0011288,0.0011288
24,25.9478,1.04374,0.82902,1.33004,0.95274,0.96591,0.98653,0.71849,0.97646,0.62141,1.38412,0.0010892,0.0010892,0.0010892
25,26.9661,1.06335,0.79686,1.34574,1,0.97539,0.99139,0.74945,0.92009,0.53859,1.3167,0.0010496,0.0010496,0.0010496
26,27.9888,1.00435,0.76642,1.31468,0.98867,0.99134,0.99489,0.74014,0.9268,0.50948,1.35447,0.00101,0.00101,0.00101
27,29.0067,1.01036,0.71321,1.32277,0.9599,0.97727,0.98808,0.71963,0.94523,0.56081,1.35634,0.0009704,0.0009704,0.0009704
28,30.0315,1.02163,0.78866,1.37613,0.96486,1,0.99319,0.72552,0.94901,0.51096,1.37723,0.0009308,0.0009308,0.0009308
29,31.0529,0.98559,0.71827,1.29124,0.97736,0.98114,0.9922,0.74002,0.9231,0.55081,1.34158,0.0008912,0.0008912,0.0008912
30,32.0887,0.96536,0.72038,1.30829,0.98875,0.99875,0.99478,0.75638,0.87933,0.4743,1.31427,0.0008516,0.0008516,0.0008516
31,33.141,0.92624,0.69381,1.2494,0.97941,0.96591,0.98961,0.75115,0.89911,0.55342,1.32566,0.000812,0.000812,0.000812
32,34.1646,0.93268,0.67968,1.25382,0.97726,0.97683,0.99304,0.73992,0.88637,0.51378,1.31085,0.0007724,0.0007724,0.0007724
33,35.158,0.92363,0.68987,1.26068,0.98501,0.97727,0.99358,0.74513,0.93792,0.48104,1.34265,0.0007328,0.0007328,0.0007328
34,36.1565,0.88832,0.64181,1.25603,1,0.98555,0.99389,0.77042,0.83984,0.45688,1.24449,0.0006932,0.0006932,0.0006932
35,37.1787,0.87406,0.61461,1.22126,0.9843,0.97727,0.9939,0.77066,0.84719,0.45563,1.2635,0.0006536,0.0006536,0.0006536
36,38.1934,0.88773,0.59775,1.23865,0.98825,0.98864,0.99176,0.77769,0.84737,0.43034,1.25141,0.000614,0.000614,0.000614
37,39.2067,0.84533,0.61244,1.18414,0.99824,0.98864,0.9938,0.76504,0.85746,0.44142,1.25334,0.0005744,0.0005744,0.0005744
38,40.2168,0.87232,0.60324,1.2175,0.97598,1,0.99466,0.74404,0.89237,0.42146,1.28549,0.0005348,0.0005348,0.0005348
39,41.2155,0.84603,0.58208,1.21399,0.99804,0.98864,0.99478,0.75339,0.89526,0.44098,1.2899,0.0004952,0.0004952,0.0004952
40,42.2129,0.85725,0.60639,1.22308,0.98858,0.98411,0.99412,0.76171,0.88096,0.41835,1.28962,0.0004556,0.0004556,0.0004556
41,43.6889,0.70343,0.5097,1.15791,0.99091,0.97727,0.99393,0.74825,0.87368,0.44932,1.30035,0.000416,0.000416,0.000416
42,44.7025,0.67774,0.4566,1.15568,0.98282,0.97727,0.97821,0.76898,0.83175,0.47171,1.23266,0.0003764,0.0003764,0.0003764
43,45.7066,0.67512,0.43792,1.16427,0.97947,0.98864,0.99154,0.769,0.82818,0.45598,1.24312,0.0003368,0.0003368,0.0003368
44,46.7067,0.62744,0.40837,1.11191,0.96698,0.99829,0.99422,0.77711,0.80852,0.39587,1.21524,0.0002972,0.0002972,0.0002972
45,47.7285,0.63702,0.41889,1.12995,0.98876,0.99997,0.99466,0.79257,0.79251,0.38437,1.19624,0.0002576,0.0002576,0.0002576
46,48.7451,0.63868,0.41255,1.09561,0.99726,0.97727,0.99366,0.7881,0.78488,0.38168,1.17757,0.000218,0.000218,0.000218
47,49.7532,0.60598,0.39645,1.08085,1,0.99861,0.995,0.79988,0.77421,0.37595,1.15398,0.0001784,0.0001784,0.0001784
48,50.7678,0.61949,0.39157,1.08991,0.98794,1,0.99489,0.78702,0.7795,0.38143,1.15666,0.0001388,0.0001388,0.0001388
49,51.7638,0.60689,0.37561,1.0852,0.98876,0.99976,0.99489,0.78732,0.77012,0.37514,1.15164,9.92e-05,9.92e-05,9.92e-05
50,52.7664,0.57726,0.36491,1.061,0.98863,1,0.99489,0.794,0.77286,0.36919,1.15244,5.96e-05,5.96e-05,5.96e-05
